text,label
@120533 gros probleme suite à un compte bloqué depuis 2 semaines !!! 7 coups de fils 3 emails un fax et rien !! Vive les plateformes à l'étrange ! En revanche vous savez prélever le prime alors que je n'ai rien demandé et pas la possibilité de refuser !!!! Merci !!!,Technical Issues
"@Delta Currently booked on DL1849, DL3796",General
@LondonMidland No trains from Blake St since 8.02!! Cancelled due to no drivers!! just on train now. Uni at 9am. Missed lecture! #refund,Refund/Cancellation
@comcastcares Outage in my area? Any idea when it will be back up? Sacramento,Technical Issues
"@115714 @427944 This is what I got, phone is in my cart, I am ready to pay!! UGH https://t.co/fua5iNjCtj",Billing
@BofA_Help Sorry I wasn't in the room I am now,General
@116062: will you create a “disaster registry” where fire victims can pick the items they need and anyone can fill them? Offer discounts?,Billing
"@AppleSupport Freezing basically all of the time. Apps are messing up, if i turn on airplane mode and then turn it off i can’t get service without restart",Technical Issues
@VirginTrains I’ve lost my tkt back to Wilmslow. I’ve got receipt and it’s on my app but your staff tell me too bad. Surely not right??,Technical Issues
@AmazonHelp I ordered a package to be delivered tomorrow but I’ve had a notification saying it’ll be a day late now,Delivery
"@AmazonHelp prime membership says it’s suspended, updated payment method but still says it’s suspended? How do I fix it to get Prime back?",Delivery
I have yet to meet a @SouthwestAir employee who has not made my day better.,General
Our Bubby’s first flight in @Delta out of our favorite airport @6013. California Dreamin’ #notstaged https://t.co/W7mmwHn5o1,General
"@British_Airways my husband and I are flying to Texas for a friend’s wedding in December; it’s my husbands first trip to America! We’re going traveller plus, how much is the upgrade into business? Thank you",Billing
@Delta I truly appreciate you for taking a perfectly brand new piece of luggage and roughing it up to the best of your ability. Terrible! https://t.co/2H95WJ40Lr,General
Love it when @115877 takes well over an hour when it says 20-25 mins 🙃,General
@AmazonHelp And there is was no reschedule from my side. You guys did yourself,Technical Issues
@SouthwestAir over half of your ticketing kiosks are out of service at @138523. 6/16 work.,Technical Issues
"@AmazonHelp Hello I ordered yesterday and I paid for it but I need to change the billing address, how can I do it?",Delivery
"@116230 I recently used my custom built PC to host, run and edit a Smash Bros 4 tourney called Smash Trinity recently https://t.co/KZofHeprxS",General
@SW_Help @115793 Nice of you to pin blame on someone else. I think you’ll find passengers don’t care who’s fault you think it is and would rather you worked together to fix it.,Refund/Cancellation
@AmazonHelp anything else?!?! This communication feels familiar,General
@AmazonHelp Aproveitei tanto que agr to pobre 😂🙈,General
@O2 So how do i trade in? What can you do to help? What can I do?,Refund/Cancellation
"@Safaricom_Care Thank you very much,  you've been most helpful",General
@ArgosHelpers Love2Shop say any of their retailers should refund back to the love2card and by not doing this breaches the retailers agreement,Refund/Cancellation
@idea_cares want to port my number from @118343  to idea immediately please help @118343 store is the worst,General
Mason’s @ChipotleTweets pumpkin https://t.co/3rzIazXPvF,General
"@570635 @XboxSupport @570633 @3495 @125838 @141157 Issue has been corrected, NHL 17 is playable again within the vault! 👍",Technical Issues
"@AppleSupport And yes, I’ve restarted my phone, my WiFi, my home internet, the apps, my life, your life...",Technical Issues
@UPSHelp @115817 Why was my package “out for delivery” yesterday and then rescheduled for Monday ? I scheduled it on a Saturday for a reason!,Delivery
@615414 @McDonalds @590398 They won't. They are not even giving Rick and Morty the credit they deserve for trying to bring it back,General
@AppleSupport Yes,General
@UPSHelp what time do deliveries occur until on Saturdays?,Delivery
@AmazonHelp @410950 What is ur business in this story.If ur friend have any concerns let he/she handles it unless you are authorised to do it.Amazon is the best,General
@738887 @VirginTrains I've still got the picture I think.,General
uber account has been hacked...what to do? @Uber_Support,Account Issues
@AmericanAir Really? Tell me why I qualified when I left EWR? &amp; why a colleague on the exact same Status as me qualified leaving COS on the same flight,Technical Issues
Gets Amazon Prime and orders an item that qualifies for next day delivery. Get a despatched note saying it will be here Monday. Well that's no good is it @AmazonHelp !!!,Delivery
@129941 Please explain https://t.co/slhcxVjhQD,General
@MicrosoftHelps -really dumb. They should have a feature where you can make widows turn off all reminders if you are using certain apps.,Technical Issues
Le envié un dm a la cuenta de @AmericanAir y estoy impresionada por la velocidad y calidad de la respuesta. Ojalá todos los CM fueran así.,General
@AmazonHelp Thanx.Actualmente calculo que el 60-70 las hago con vuestro servicio. Y satisfecho el 99% tan  por precio como por celeridad y servicio post,Technical Issues
@VirginTrains I have and will be 50 minutes late which is too late for a crucial meeting. Day ruined. Thanks for your apology,Technical Issues
"@AskLyft Great excuse ""The feedback alleged you made inappropriate or derogatory comments towards your driver."" I did not. Oh, and fuck you.",General
@AzureSupport I wil check with my application vendor on how to proceed.,General
@AppleSupport Im currently using 11.1.2,Technical Issues
When @Tesco give your click + collect to someone else 👏🏻 the main present your 6 year old daughter wanted from Santa,General
"@121513 @SW_Help Done already! Well I hope somebody finds it, shame there are so many possible areas it could have fallen out 😖",General
Yo @115858 what’s supp with these square boxed question marks it’s annoying,General
@CoxHelp Cable card and tuning adapter for my TIVO has been dead since Last Thursday here in Norman OK. Any info about what is going on?,Billing
@GWRHelp @152880 From where? Hardly anyone got off it at TWY?,General
"@115817 @UPSHelp Loving how you moved my delivery date, canceled my two-hour delivery window YET still kept my money...",Refund/Cancellation
@115888 can you stop randomly unsaving songs that ive saved. My wifi gbs are crying. As am I. Tanks.,Technical Issues
@AmazonHelp I need a compensation for sure.....its purely your fault,Refund/Cancellation
@British_Airways logged into manage my booking and getting  message saying no flights in the booking. Due to fly on Monday what's going on?,Technical Issues
@AmazonHelp The delivery date given was December 4 - December 7! Is that why it hasn't been shipped out yet? ):,Delivery
@XboxSupport I can sign In but won't let me join parties.,Account Issues
@MicrosoftHelps THIS SETTING NEVER WORKS. NEVER. https://t.co/oKAj8aV5GP,Technical Issues
Looking for an interesting read? This man is unstoppable #ScottHaze #Mully @AmericanAir https://t.co/Tve2owmVSJ,General
@786388 @AirAsiaSupport Better take refund,Refund/Cancellation
@Uber_Support No one has resolved it till now? I need answer is Etios Liva a Sedan and what action you have taken against driver for talking on phone?,Technical Issues
@AmazonHelp Just realised that the Knorr beef stock cubes that I ordered are also missing. Could you help me with this so I don’t have to hold for 15 min again? Also I would like to cancel this subscription ASAP. How can I do that?,Refund/Cancellation
Asked my @115879 driver nicely to switch from right wing talk radio to music. He declined. This is a fun ride.,Technical Issues
@AmazonHelp Unaddressed issues r remaining unresolved since months and you are just escalating and requesting me to wait further. No refund since months,Refund/Cancellation
"Hey @115825, könnt ihr bei Gelegenheit mal die deutsche Tonspur der King of Queens S04E24 austauschen? Da ist die Tonspur der vorherigen Folge drin. Die englische Tonspur funktioniert einwandfrei.",Technical Issues
"@TMobileHelp I apologize for my behavior, let’s work this out like civilized people.",General
@VirginTrains what's the sitch with delay repay if I have an anytime return ticket and the train I was planning on getting was cancelled?,Refund/Cancellation
"@AmericanAir It felt I was so restricted and I am just a medium size human being, especially for a 6 hour flight, something needs to be done, it felt unacceptable, please do something",Technical Issues
"@Delta in the air on delayed 2057, will prob miss connection in ATL to GSP. Can u help please ?
Ric Rosenbaum
#2128647449",Technical Issues
"@115879 nah nigga. Gimme my $10 “no-show” fee right back, my app froze and didn’t tell me the driver was here. We gon do this right here",Refund/Cancellation
@TMobileHelp Another bot.,General
@AmericanAir So is there no way I can check in online now for my flight?,Technical Issues
@VerizonSupport But this is only happening to people who have Verizon and if this keeps up people will take actions like switching ISP.,Technical Issues
@Delta @207516 @207516 has 3 Emmy’s.  He’s very important.  Perhaps this little hiccup can be resolved with a Pope Bottle Opener.  #FlyLinoHome,General
@115714 They offered less than 25% of that BS restocking fee back. I'm insulted.,Refund/Cancellation
@115850 My order id is 404-1796907-6903540 is please look into this matter asap and please try to contact us very soon I want this product,Delivery
Yo @116136 @115900 what'd ya'll do wit my upload ??? https://t.co/9Akoq42SJU,Technical Issues
@401338 @ATVIAssist  https://t.co/oUcq6ZKhx7,General
知らない間にAmazonプライムの会員になっちゃってたわ。記憶ねーから怖い,General
@SouthwestAir how long does it take for points from a partner company to transfer to southwest rapid rewards?,Billing
@AppleSupport Any tips to speed up the update? Traveling 🚫 have 4 hrs. Requiring WiFi when some LTE speeds are faster still makes me 🤷🏻‍♀️ https://t.co/9nDbFKPyzn,Technical Issues
@AmazonHelp for same pin code it shouldn't change in matter of mins.before placing order it showed 3-4 days n post payment a week! @115850 #ecommerce,Delivery
@SW_Help Why no new trains on Weymouth to Waterloo? At least refurbish some pls.  Don't refer me to the website...Answer me,General
@TMobileHelp Dang so no free Netflix 😂,General
@LondonMidland Thank you 😊,General
"Few things make me happier than calling customer service and getting someone who's helpful, knowledgeable and friendly.",General
"Dear @GloCare @117627  you need to make me your ambassador, I talked to two persons about how good your network is and they bought glo.",General
"@Uber_Support 
I have added a payment method and still i can't requrst any ride as below snapshot, please your support https://t.co/K7y04cK4Tz",Billing
@XboxSupport @161810 It’s ok Xbox Best Buy helped me,General
@SpotifyCares Pixel XL https://t.co/5X09IqH8z7,General
Starting to wonder why I’m paying £80 a year for @115830 next day delivery when my items never seem to come next day 😡,Delivery
"@115858 @AppleSupport  Is this green pixel supposed to be on my brand new iPhone X? Also, why can’t I just get a simple replacement phone at your stores? Why do I have to pay another grand to get a replacement or pay for “repair”?! https://t.co/QVEzzAx8eC",Technical Issues
mcnuggets yayy,General
@TacoBellTeam So....?,General
@AmazonHelp Ansiosa! 👏🏻👏🏻😆,General
@O2 Terrible! Just glad I didn't spend any money as it seems neither of you are taking any responsibility!,General
@UPSHelp France,General
"@British_Airways This does not address my question: why don't you allow guitars though they fit in overhead compartments? In addition, your rules for violins &amp; violas are self-contradictory (you say you will ""make an effort"",but then claim instr. &gt;56cm will be checked in"") https://t.co/NSAJI3UHXl",Technical Issues
"@115850 this is probably the first, but I've received a product which belongs to someone else! And I suppose my order is sent elsewhere!!",Delivery
@hulu_support I’ve already reset my password &amp; im still getting that error 🤦🏻‍♂️  i never had account issues with @116602,Account Issues
@AmazonHelp @145403 ¿Y va a estar todo más caro que en día normal? Porque veo que así funcionan las ofertas para sus compradores mexicanos.,General
@LondonMidland do you give refunds when people have to get coaches instead of the scheduled transport they have pre-paid for.?,Refund/Cancellation
"@AmazonHelp ordered next day delivery via your prime service on tues. When does it turn up? TODAY! Just as well I didn’t need it by yesterday...oh, wait....🤔",Delivery
@115765 @115766 fix this broken ass game please I've restarted 10 times and still this shit comes up!😡 https://t.co/OpXejHpm4z,Technical Issues
@VirginAtlantic Trying to use their App to check in but says I need an account? Won't accept my virgin details.,Account Issues
"*positive* @122550 experience klaxon! webchat sorted my problem. Still doesn't sort my ""missing"" bonus points from @sainsburys tho. Baby steps eh.",Technical Issues
"@AppleSupport @564337 Lies! Apple has ignored me, and told me multiple different things! Still no resolution. All lies! #AppleSucks",General
"@SouthwestAir my wife and I changed our names, and your website says tweet you for directions on how to update our accounts - help!",Account Issues
"Dear @115940, just once I would like to watch an episode without you freaking out and turning off.
Best regards,
             Kathleen",Technical Issues
"@AdobeCare It had the same problem before I updated the drivers, so I don't think that's it..",Technical Issues
@SpotifyCares I've just got some Google Chromecast speakers. How do I remove my old Spotify Connect speaker? https://t.co/dUFySGOoGw,Technical Issues
"@115850 will you give my money back.Or I start legal forgery case for loss.
No body respond for email now and exhausted with calls in your customer care. https://t.co/vOdzHP30ug",Refund/Cancellation
@ATVIAssist I got demoted to lvl 1 twice how can I get my rank back,Technical Issues
@Delta the plane is broke down. And we are not getting answers.,Technical Issues
Wonder if @116245 let me off a penny 😒 https://t.co/ctJPepLIcs,Billing
@LondonMidland I was going to Sutton Coldfield ended up having to wait 25 minutes for the next connecting train.,Technical Issues
I ordered a pizza TWO HOURS AGO and it’s still not here. Do better @116076,Delivery
@AppleSupport HELP PLS IM POOR,General
"@AmericanAir I hope so because if mine is cancelled, I miss being best man at my brothers wedding. I would hate for my previous appreciation for AA to push me elsewhere...",Refund/Cancellation
@Morrisons how can i make a complaint to the crowborough store about a VERY ride till worker and manager,Technical Issues
"@O2 same on safari, chrome and IE :(",General
@AmazonHelp Sent. Kindly resolve this on immediate basis.,General
"@SW_Help Hey team, season ticket holder here. Went to refund rest of ticket, couldn't, understand as less then a week left. But then I have no void days?! I've been on trains delayed for ages and due August work refund surely. What gives?",Refund/Cancellation
@Delta I guess 20m was optimistic. 40m now.,Refund/Cancellation
@O2 Arrived 7.50am!!!! Now to o2 store to transfer iCloud x,Technical Issues
@AmazonHelp Been told my delivery will be between 26th-30th October. When will I find out for sure?,Delivery
"@AmazonHelp I used some tactics and got it out in the end, thanks for checking. I just need to bear in mind for future!",General
"Was rejected by @British_Airways. Seeking refund on Avios points debacle, but ever so politely and elegantly. -40K points, still love BA.",Refund/Cancellation
@115858 Also my battery dies so fast now! #Apple,Technical Issues
@TMobileHelp You got it!,General
"@AskTigogh Good morning,Please have not heard from you..thanks",General
@ATVIAssist @115765 I got 50 kills in war and said I still need to complete the 45 kills in war challenge.....???,Technical Issues
@LondonMidland Even our train driver has just announced that this evening has been handled really badly and no need for the delays...,Technical Issues
@SpotifyCares Hey. I want to change my Discover Weekely Preference. I listen to lots of rap but I do not want rap suggestions. What to do?,Technical Issues
@Tesco just found this in my raspberries https://t.co/jQqsSxl5cN,General
HELLO @AskeBay https://t.co/mfCjpYnSbA,General
"@airtel_care It was sent to ""07085398833"". My current number is ""07080844289"". Thank you.",Delivery
"@AlaskaAir It's bunch of domestic first class  ticket anywhere on the website, are you sure ""it seems very low""?????I was just told that my flight hadn't any seats! Your IT department is not working hard!",Technical Issues
@AldiUK fantastic customer service when I needed a trolley tonight!,General
"@115911 Sent a DM, thank you for helping me!",General
"Can you tell me if @sainsburys in Deal, Kent, has stopped stocking the following product? Many thanks.

https://t.co/qCpiA3R9fg",Technical Issues
@Kimpton Yes Chicago! Allegro is already helping me! Thank you so much!,General
"@AppleSupport Maybe it is just AT&amp;T not sure. As I just went in a app and it couldn’t refresh, unless I manually do it and it is slow.",Technical Issues
@507049 @Delta Where are they taking you??,General
That feeling when @116057 asks you to DM them to reconcile the order they messed up on-and then they don't respond.... #dissapointed,Delivery
"本当にAmazonよく分からない。

10月24日から11月12日の間発送と11月1日お届け予定になってたから作るか買うかしようとしてたのに発送通知も来ないで商品送られてきたんだけど。

しかも、配送状況2つとも全然到着してなかったしむしろ途中だったし。

間に合っただけ良いけど",General
Yo @115888 why is @251622 the 3rd result when i search 'cher'? Fucked up honestly,Technical Issues
@AmazonHelp Please share some coordinates so we can connect. Good to see your concern of customer. Will wait to see solution..,General
@AskPapaJohns Yes they had to fully return the order and reorder it online.,Delivery
@AmazonHelp Contacted seller and was rudely hung up on several times #scam,Technical Issues
@TMobileHelp much easier to say for everyone to see on twitter. the reality is I will be put on hold for 30 mins and be cold transferred to diff depts,Technical Issues
The best part of the supercharger going “missing”is it was shipped to a @115817 employee. You would think they could track a 50lb 3x3x3ft box,Delivery
So there’s a $45 Postmates charge on my account but I didnt order anything ......... @Postmates_Help,Delivery
"@118266 Akunku tiba2 keluar baik dr hp/pc, padahal ga pernah log out/ganti password, ini cara pembayaran by cc, masa' harus bayarin akun yg dihack",Account Issues
@VerizonSupport This one? https://t.co/BCcwKrL5hb,General
"@AmazonHelp Es lo que hago, hice mi pregunta porque en el sitio decía que estaría disponible desde el día de ayer. De cualquier manera gracias.",General
@comcastcares They fixed it! Thank you!,General
@idea_cares At least inquire to whom this aircel no is allotted and Do you have all kyc of this no ?,General
"#glo's data plan is simply amazing, however, the network sucks. @GloCare please look into this.",Technical Issues
"Wenn ich mir überlege, wie viele Arbeitsstunden @389125 und ich diese Woche durch nicht funktionierende Software von @115777 verloren haben und was deswegen alles nicht fertig geworden ist, wird mir ganz anders. Ich würd das denen ja gern in Rechnung stellen.",Technical Issues
@GWRHelp you paying for a cab back tonight as the delay at chipppenham is a joke?,Refund/Cancellation
@144952 ギフト送ったべ,General
@XboxSupport @127889 The other team had the same problem,General
@Delta it’s not exactly how I wanted my night to start off,General
@Uber_Support Don't fancy replying to that?,General
@AppleSupport I can’t download apps from the app store.,Technical Issues
Hey @AppleSupport why is “I️” auto correcting to “A ? “,Technical Issues
@115888 do you purposely make your ads use up so much cpu forcing people to go premium?,General
@115714 @465557 Why is that different than this? https://t.co/XDnSMiuYF5,General
Who the hell takes down a credit card shopping portal for regular maintenance on Cyber Monday @116016? Seriously?,Billing
@Morrisons A rogue potato made it into the pack #morrisons https://t.co/o1n8hzMFRd,General
.@127972 @116618 I cant watch #MIAvsBAL on #TNF with the amazon vid app.  Infuriating and frustrating as hell. Y do I pay 4 prime,Technical Issues
@TMobileHelp My problem is straight forward. Non my of my family members had working service throughout St. Helena. Worked in Calistoga only.,Technical Issues
@119625 I've downloaded some stuff from prime . Will I be able to see it while abroad? Nd will I be able to access prime abroad ?,General
@ChipotleTweets i wish we had a campus chipotle 😭😭 #wvu,General
"@AppleSupport iPhone 7. It's been like a month. Yes, I reset everything.",Technical Issues
Furious with being misled by @British_Airways that flight booked with website is not a oneworld partner. Denied lounge access as silver card,Billing
@GWRHelp 8 coaches going from ealing broadway towards slough was nearly empty. you need to provide more coaches as the area has recently got busy. need more coaches to avoid pushing and delays and over crowding.,Technical Issues
Big thank you to Fernando in the @AlaskaAir lounge @116373 - superior customer service!,General
"@AmazonHelp You already did and told me, ""we don't know! Sorry!"" So naw. I'm alright. I'll just reorder my package and hope you don't botch it twice.",Delivery
@115858 @AppleSupport And there’s also this. No clock. https://t.co/syQoxc4ZWi,Technical Issues
"Orlando to Amsterdam nonstop on @Delta begins March 30, 2018 | Delta News Hub https://t.co/OJsiF2JxzP https://t.co/ByD2L1qB82",General
@115714 just wasted 3 hours on the phone trying to exchange a brand new yet defective device. 👎,Refund/Cancellation
@115858 Fucking fix this “I.T” bug. I’ve had I.T up to here with I.T. I.T is really fucking annoying. I can’t deal with I.T. Get I.T?,Technical Issues
"@SouthwestAir @587735 Saw this, it was absurd. Southwest has to answer for this.",General
"@MicrosoftHelps 2017-10-16 02:45:18.311, Error     [GetCurrentInternal_ReportRollbackEvent] Rollback routine is not supported on this OS Version",Technical Issues
"@AskPayPal Thanks for following up. I was repeatedly getting a 500 Server Error yesterday, but it seems to have since been resolved.",Technical Issues
Pretty clean flight to MCO on @AmericanAir 🙄 https://t.co/34lN9dt4DX,General
@119309 @Safaricom_Care Kindly call 0714110898. I got the Agent number,General
@Safaricom_Care https://t.co/R7XYnTLrdr,General
"@115879 I’ve never been pulled over by police for driving dangerously until today, and your guy was driving. Call me.",General
@648676 @ATVIAssist @648675 Exactly! Nail on the head,General
"@Uber_Support Check these 3 points marked in pic, is this enroute or off the route.  You guys think it's fine!!! @115873 pool should not make the one suffer who boarded first. Not acceptable. https://t.co/uhORXPINvg",Technical Issues
"@BoostCare I tried to call customer service, the recording said it was 'after regular business hours' but didn't tell me what the hours are.",Technical Issues
